rank,title,source,marketShare,tokens,snippets,updateUtc,updateAgo,trustScore,verified,benchmarkScore,type,popularityRank,docsRepoUrl,docsSiteUrl,libraryId
16,Drizzle ORM,/drizzle-team/drizzle-orm-docs,1.2625227298622097,656341,3255,2026-07-09T11:33:31.554000Z,18h,7.6,True,81.8,repo,10,https://github.com/drizzle-team/drizzle-orm-docs,,/drizzle-team/drizzle-orm-docs
17,MongoDB,/mongodb/docs,1.2572711758168087,2002993,9157,2026-07-10T02:52:02.032000Z,3h,9.1,True,77.8,repo,39,https://github.com/mongodb/docs,,/mongodb/docs
18,FastAPI,/fastapi/fastapi,1.2528999992527028,132803,569,2026-07-09T12:01:27.258000Z,18h,9.9,True,83,repo,18,https://github.com/fastapi/fastapi,,/fastapi/fastapi
19,Playwright,/microsoft/playwright,1.1496859765182852,774809,3705,2026-07-09T13:09:32.263000Z,17h,9.9,True,96.6,repo,8,https://github.com/microsoft/playwright,,/microsoft/playwright
20,React,/websites/react_dev,1.138348557209744,790160,2805,2026-06-15T11:00:48.445000Z,24d,10,True,95,website,807,https://github.com/context7/react_dev,https://react.dev/,/websites/react_dev
21,Vitest,/vitest-dev/vitest,1.1247027062496668,463695,2465,2026-07-09T10:01:20.018000Z,20h,8.3,True,86.8,repo,12,https://github.com/vitest-dev/vitest,,/vitest-dev/vitest
22,Tailwind CSS,/websites/tailwindcss,1.1067982851475098,324751,2284,2026-06-29T19:32:44.397000Z,10d,9.9,True,73,website,105,https://github.com/context7/tailwindcss,https://tailwindcss.com/docs,/websites/tailwindcss
23,Vite,/vitejs/vite,1.054748525802789,131580,537,2026-07-10T03:05:59.768000Z,3h,8.3,True,84.6,repo,15,https://github.com/vitejs/vite,,/vitejs/vite
24,LangGraph,/websites/langchain_oss_python_langgraph,1.0378473255514105,188368,666,2026-07-06T07:55:09.362000Z,3d,10,True,93.6,website,24,https://github.com/context7/langchain_oss_python_langgraph,https://docs.langchain.com/oss/python/langgraph/,/websites/langchain_oss_python_langgraph
25,Payload,/payloadcms/payload,1.0318382373941974,461342,2205,2026-07-09T04:12:53.452000Z,1d,9.4,True,83,repo,26,https://github.com/payloadcms/payload,,/payloadcms/payload
26,AI SDK,/websites/ai-sdk_dev,0.9959833289263275,974855,3804,2026-07-03T11:06:06.164000Z,6d,9.6,True,88.6,website,45,https://github.com/context7/ai-sdk_dev,https://ai-sdk.dev/,/websites/ai-sdk_dev
27,SwiftUI,/websites/developer_apple_swiftui,0.9616741995244529,2767616,16583,2026-07-01T22:03:14.039000Z,8d,10,True,91.3,website,32,https://github.com/context7/developer_apple_swiftui,https://developer.apple.com/documentation/SwiftUI,/websites/developer_apple_swiftui
28,Gemini API,/websites/ai_google_dev_gemini-api,0.9546004688317197,690494,1703,2026-07-02T14:40:28.888000Z,7d,9,True,88.3,website,51,https://github.com/context7/ai_google_dev_gemini-api,https://ai.google.dev/gemini-api/docs,/websites/ai_google_dev_gemini-api
29,Model Context Protocol Typescript SDK,/modelcontextprotocol/typescript-sdk,0.9398234351776524,121825,447,2026-07-09T04:27:14.295000Z,1d,7.8,True,82.2,repo,36,https://github.com/modelcontextprotocol/typescript-sdk,,/modelcontextprotocol/typescript-sdk
30,Prisma,/prisma/docs,0.9337170960195984,1398867,5275,2026-03-12T22:30:38.548000Z,3mo,10,True,82.6,repo,138,https://github.com/prisma/docs,,/prisma/docs
31,Spring Boot,/spring-projects/spring-boot,0.9260291484794498,243524,663,2026-07-09T20:04:55.852000Z,10h,7.5,True,88.3,repo,17,https://github.com/spring-projects/spring-boot,,/spring-projects/spring-boot
32,Astro,/withastro/docs,0.9133353336328665,534525,2690,2026-07-09T12:42:43.079000Z,17h,8.5,True,85.5,repo,9,https://github.com/withastro/docs,,/withastro/docs
33,Claude Code,/websites/code_claude,0.9094094642831368,694109,2111,2026-06-29T17:42:36.232000Z,10d,9.9,True,81.5,website,21,https://github.com/context7/code_claude,https://code.claude.com/docs,/websites/code_claude
34,Clerk,/clerk/clerk-docs,0.8809968166164494,1198853,4523,2026-07-09T02:55:29.818000Z,1d,8.4,True,86.5,repo,29,https://github.com/clerk/clerk-docs,,/clerk/clerk-docs
35,shadcn/ui,/websites/ui_shadcn,0.8693011041469156,522377,1984,2026-06-25T14:33:21.175000Z,14d,8.8,True,78.5,website,255,https://github.com/context7/ui_shadcn,https://ui.shadcn.com/docs,/websites/ui_shadcn
36,NestJS,/nestjs/docs.nestjs.com,0.8402588842116276,277320,1628,2026-07-09T12:19:15.963000Z,17h,9.5,True,91.3,repo,41,https://github.com/nestjs/docs.nestjs.com,,/nestjs/docs.nestjs.com
37,Stripe,/websites/stripe,0.8347309325848897,25758695,30617,2026-06-27T06:49:05.365000Z,12d,10,True,79,website,23,https://github.com/context7/stripe,https://docs.stripe.com,/websites/stripe
38,Pydantic AI,/pydantic/pydantic-ai,0.8032011344175694,320934,1088,2026-07-09T11:55:17.576000Z,18h,9.6,True,74.1,repo,57,https://github.com/pydantic/pydantic-ai,,/pydantic/pydantic-ai
39,TanStack Router,/tanstack/router,0.8023719416735587,513991,2393,2026-07-09T15:58:07.228000Z,14h,8,True,94.7,repo,28,https://github.com/tanstack/router,,/tanstack/router
40,Mastra,/mastra-ai/mastra,0.7935323375445064,1599281,7203,2026-07-09T17:05:04.895000Z,13h,7.5,True,89.2,repo,30,https://github.com/mastra-ai/mastra,,/mastra-ai/mastra
41,Tauri,/websites/v2_tauri_app,0.7496260699017673,411493,2593,2026-07-04T10:34:08.972000Z,5d,9.7,True,84.6,website,16,https://github.com/context7/v2_tauri_app,https://v2.tauri.app/,/websites/v2_tauri_app
42,OpenAI Python,/openai/openai-python,0.7051055854116128,66813,604,2026-07-09T18:30:42.965000Z,11h,9.1,True,90.1,repo,94,https://github.com/openai/openai-python,,/openai/openai-python
43,Google Gen AI Python SDK,/googleapis/python-genai,0.7003965895814287,308689,673,2026-07-09T23:16:33.490000Z,6h,8.5,True,90.2,repo,98,https://github.com/googleapis/python-genai,,/googleapis/python-genai
44,Claude Agent SDK,/websites/platform_claude_en_agent-sdk,0.6914955637676348,159206,651,2026-04-05T04:24:48.464000Z,3mo,9.7,True,86.3,website,2803,https://github.com/context7/platform_claude_en_agent-sdk,https://platform.claude.com/docs/en/agent-sdk,/websites/platform_claude_en_agent-sdk
45,TypeScript,/microsoft/typescript,0.6744305723569456,3155360,27331,2026-07-07T11:03:56.180000Z,2d,9.9,True,70.4,repo,104,https://github.com/microsoft/typescript,,/microsoft/typescript
46,Model Context Protocol Python SDK,/modelcontextprotocol/python-sdk,0.6729871627655195,94587,349,2026-07-09T12:00:48.351000Z,18h,7.8,True,87.4,repo,76,https://github.com/modelcontextprotocol/python-sdk,,/modelcontextprotocol/python-sdk
47,Zod,/colinhacks/zod,0.6667835726066248,91427,577,2026-07-10T01:08:08.001000Z,5h,9.6,True,91.7,repo,69,https://github.com/colinhacks/zod,,/colinhacks/zod
48,React Router,/remix-run/react-router,0.6611071852417614,228725,1028,2026-07-09T17:44:25.023000Z,12h,7.5,True,91,repo,49,https://github.com/remix-run/react-router,,/remix-run/react-router
49,Next Intl,/amannn/next-intl,0.6576573339487787,74332,359,2026-07-09T23:03:45.315000Z,7h,10,True,94.6,repo,44,https://github.com/amannn/next-intl,,/amannn/next-intl
50,Supabase JS Client,/supabase/supabase-js,0.6538389525473466,41831,248,2026-07-04T19:03:06.065000Z,5d,9.5,True,86.7,repo,120,https://github.com/supabase/supabase-js,,/supabase/supabase-js
